Nome,Preço,Categoria,Avaliação,Número de avaliações,Termômetro,Vendedor
 Moto E22 Dual SIM 128 GB preto 4 GB RAM,961,Celulares e Smartphones,4.7,1114.0,5.0,Motorola
Samsung Galaxy A03 Core Dual SIM 32 GB mint 2 GB RAM,609,Celulares e Smartphones,4.6,7355.0,5.0,Mercado Livre
Samsung Galaxy S23 Ultra Dual SIM 256 GB cream 12 GB RAM,6.799,Celulares e Smartphones,5.0,143.0,5.0,Mercado Livre
Samsung Galaxy A32 128 GB preto 4 GB RAM,1.399,Celulares e Smartphones,4.8,95.0,5.0,SHOP EV
Samsung Galaxy M13 128 GB azul 4 GB RAM,999,Celulares e Smartphones,4.8,11.0,5.0,Mercado Livre
Samsung Galaxy S23 Dual SIM 256 GB verde 8 GB RAM,5.849,Celulares e Smartphones,4.9,130.0,5.0,Mercado Livre
Samsung Galaxy S23 Dual SIM 128 GB phantom black 8 GB RAM,5.199,Celulares e Smartphones,4.9,130.0,5.0,Mercado Livre
Samsung Galaxy S21 FE 5G (Exynos) 5G Dual SIM 128 GB olive 6 GB RAM,2.149,Celulares e Smartphones,4.7,644.0,5.0,Mercado Livre
Samsung Galaxy A04s 64 GB green 4 GB RAM,839,Celulares e Smartphones,4.5,12.0,5.0,Mercado Livre
Samsung Galaxy A14 (Exynos) 5G Dual SIM 128 GB light green 4 GB RAM,1.099,Celulares e Smartphones,5.0,5.0,5.0,Mercado Livre
Samsung Galaxy A32 Dual SIM 128 GB azul 4 GB RAM,1.399,Celulares e Smartphones,4.6,4629.0,5.0,SHOP EV
Apple iPhone 14 Pro Max (256 GB) - Dourado,9.594,Celulares e Smartphones,4.9,139.0,5.0,FASTSHOP OFICIAL
Asus ZenFone 9 Dual SIM 256 GB azul 8 GB RAM,5.499,Celulares e Smartphones,4.3,4.0,5.0,Fast Shop
 Moto G22 128 GB mint green 4 GB RAM,1.110,Celulares e Smartphones,4.6,658.0,5.0,GH3 IMPORT
Realme C35 Dual SIM 128 GB glowing black 4 GB RAM,"1.103,08",Celulares e Smartphones,4.6,145.0,5.0,ZOOM_STORE
Apple iPhone 14 Pro (256 GB) - Roxo-profundo,10.499,Celulares e Smartphones,4.9,58.0,5.0,FASTSHOP OFICIAL
 Moto G8 Play Dual SIM 32 GB vermelho-magenta 2 GB RAM,"795,29",Celulares e Smartphones,4.6,736.0,5.0,MAISBARATOFONE
 Moto G52 Dual SIM 128 GB azul 4 GB RAM,1.129,Celulares e Smartphones,4.7,3790.0,5.0,Motorola
Realme C30s Dual SIM 32 GB stripe blue 2 GB RAM,"649,35",Celulares e Smartphones,4.6,14.0,5.0,Realme
Positivo Twist 5 S620 Dual SIM 64 GB preto 1 GB RAM,"435,36",Celulares e Smartphones,3.8,5.0,5.0,EMANXES
Asus ZenFone 9 Dual SIM 128 GB vermelho 8 GB RAM,"4.399,12",Celulares e Smartphones,4.3,4.0,5.0,Asus
Apple iPhone 14 Pro (128 GB) - Dourado,8.199,Celulares e Smartphones,4.9,58.0,5.0,LOJA IPLACE
 Moto G8 Dual SIM 64 GB pearl white 4 GB RAM,"1.193,54",Celulares e Smartphones,4.6,127.0,5.0,TECMODENA
Samsung Galaxy A03 Dual SIM 64 GB vermelho 4 GB RAM,"993,29",Celulares e Smartphones,4.6,4496.0,5.0,SMARTSCAROL
 Moto G42 128 GB azul 4 GB RAM,"1.270,19",Celulares e Smartphones,4.8,12.0,5.0,LOJA IEDAMIYASHIRO
Motorola Edge 30 Ultra Dual SIM 256 GB white 12 GB RAM,5.029,Celulares e Smartphones,4.6,12.0,5.0,Motorola
Xiaomi Redmi 9A Dual SIM 32 GB cinza 2 GB RAM,739,Celulares e Smartphones,4.5,2890.0,5.0,AUTOFLECHA
Apple iPhone 14 Plus (256 GB) - (PRODUCT)RED,8.199,Celulares e Smartphones,5.0,6.0,5.0,LOJA IPLACE
